jobss,,,,,,,
Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Sr. Software Engineer Android/Hybrid,3 - 5 ," SQL, Android, jQuery, UML, Coding, Graphics, JSON, Test cases, System testing, SQLite",Programming & Design,Hyderabad,IT Software - System Programming,"IT-Software, Software Services",Software Developer
 Principal Engineer-Piping,15 - 18 ," HVAC, Architecture, Project management, CAD, thermal, Conceptualization, Instrumentation, Autodesk, Food processing, Project delivery",Engineering Design,Mumbai,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead/Project Lead
 Business Analyst - Structured Finance,1 - 4 ," electronic trading, structured finance, dcf, equity research, bloomberg, investment banking, business analysis, bonds, valuation, advanced excel, hedge fund, financial modelling, structured products, fixed income",System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst
Solution Architecting,8 - 12 ,"Product management,Analytical skills,software architecture,Prototype,Business analysis,Manager Technology,Outsourcing,Resource management,Operations,Solution architecting",Programming & Design, Gurgaon,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Technical Architect
 Sales / Business Development,15 - 20 ," Sales Head, Hospitality, Office automation, Residential sales, Sales strategy, Bfsi, management, Real estate sales, Flex, Executive search",Senior Management,"Bengaluru,Chennai","Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)",0 - 2 ," biotechnology, microbiology, nursing, biomedical, medical coding, medical coder, pharmacy, life sciences",Medical Professional,"Chennai Vellore,Salem Erode,Madurai Trichy","Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern
 Consultant,12 - 16 ," Com, Application support, Email, SAP IS-Utilities, level, Billing, change, Service, CRM, Entry level",System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Outside Technical Consultant
 Network & Security Architect- Pune,8 - 13 , Network,,Pune,Other,"IT-Software, Software Services",Other
 Business Development Manager,1 - 3 ,"ERP, RF, Action plan, Relationship, Software sales, Business planning, B2B Sales, RFQ, RFP, CRM",Corporate Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Assistant Vice President - Stock Broking - Delhi,3 - 8 ," Equity, Currency, Mutual Funds, Commodities, Stock Broking, New Client Acquisition, Business Generation, Channel Distribution, Team Management, team handling, sales",Senior Management,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales
 Production Manager in Press Shop & Projection Welding,10 - 15 ," Production Management, Weld Shop, Press Shop, pressing, sheetmetal",Production/Manufacturing/Maintenance,Greater Noida,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Production Manager
salesfoce Developer +3Years / Mumbai,3 - 8 ," Salesforce Developer, sfdc developer, Salesforce",Programming & Design,"Mumbai,Pune","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Social Media Executive,0 - 1 ," website, facebook, online, Twitter, seo, internet, search engine optimisation",Online/Digital Marketing,Hyderabad,"Marketing , Advertising , MR , PR , Media Planning","Media, Entertainment, Internet",Social Media Marketing Manager
 Business Advisor,0 - 3 ,,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales Executive/Officer
" IT Recruiter, Technical Recruiter",0 - 4 ," head hunting, talent acquisition, Recruitment Executive, it recruitment, screening, technical recruitment, hiring, recruitment consultant, recruitment, sourcing, excel powerpoint, staffing",HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
 SAP PLM Consultant - SAP MM Module,10 - 15 ," SAP PLM, SAP MM, SAP EHS",Other,Hyderabad,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Consultant
 Python Manager - IIT/ IIM/ DSE/ ISI,3 - 6 ," Microstrategy, Business Intelligence, Cognos, Business Objects, Tableau, AWS, Python, SQL",Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT/Networking-Manager
 Marketing Manager - Activation - Iit/nit,2 - 5 ," Marketing, Event Management, Brand Management",Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
 Hiring .Net Developers for Hyderabad Location,3 - 6 ," asp.net, ado.net, MVC",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior BI Cognos Developer,7 - 12 ," SQL, Oracle, Cognos, Business intelligence, Automotive, Supply chain, DBMSTools, metadata",Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","Recruitment, Staffing",Software Developer
 Technical Support Engineer,2 - 5 ," Technical support, SAN, Veritas, Data management, NetBackup, Windows OS, WebEx, Unix operating system, TCP/IP, IT infrastructure",Admin/Maintenance/Security/Datawarehousing,Pune,IT Software - Other,"IT-Software, Software Services",Technical Support Engineer
 Senior Drupal Developer,5 - 10 ," Drupal, Linux, MySQL, Python, Consulting, Procurement, Monitoring, Front end, Backend, Django",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Pre Sales Executive,2 - 4 ," Presales, Real Estate Sales, Residential Sales, Sales Executive Activities",Pre Sales,Pune,"Sales , Retail , Business Development","Real Estate, Property",Pre Sales Consultant
 Head - Sales &amp; Strategy (telematics),7 - 12 ,"b2b sales, team management, kam, commercial vehicle, sales strategy, enterprises sales",Senior Management,Gurgaon,"Sales , Retail , Business Development","Internet, Ecommerce",Head/VP/GM/National Manager -Sales
 Content Writer Required for a Monthly Magazine,1 - 3 ," Editing, proof reading, content writer, editor, Articles, Article Writing, Content Editor, Journalism, Mass Communication, Copywriter, Associate Editor, Sub Editor, English Writing, Research, Social Media",Content Development,"Delhi NCR,Ghaziabad,Noida","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Sales Engineers,1 - 2 ," set, eee, interpersonal skills, selling, sales marketing, travel, marketing management, hardware",Retail Sales,Chennai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Senior Laravel Developer,3 - 5 ," MySQL, Wordpress, Javascript, Flex, CMS, PHP, HTML, JSON, Joomla, Ajax",Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
"Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k",0 - 5 ," MBBS, B.sc, Biotech, Dermatology, Rheumatology, ENT, BDS, Medicine, Pathology, Immunology, Medical Transcription, Radiology, Genetics, BAMS, MDS",Drug Regulatory Affairs/Documentation,"Chandigarh,Mohali,Panchkula","Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
 Hub-Incharge Bangalore,2 - 3 ," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Recruitment, Staffing",Logistics Manager
" QA - Associate , - Business - Operations - DM",3 - 5 ," QA, Data management, GDB, Fixed income, Data quality, HTTP, Operations, Python",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer
 Staff Nurse,2 - 5 ," Nursing, NICU, Medical , patient care, Nurse",Medical Professional,Gurgaon,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Nurse
" Back Office Executive,data Entry Operators,domestic BPO",0 - 3 ," back office processing, BPO, part time, data entry, computer operator, backend, non voice, chat process, account, marketing, inbound process",Other,"Mumbai,Pune","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
Sr Equity Advisor - 5 nos,6 - 11 ," shares, market research, communication skills",Investment Banking,Ahmedabad,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Equity Manager
 Data Scientist - Sql/nosql,2 - 6 ," SQL, NoSQL, R, Python, Scala, Data Visualization, Machine Learning, Data Science, Data Modeling, Algorithm",Analytics & BI,Mumbai,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst
Hiring For Day Shift Non Voice Sal. Up To 24K,0 - 4 ," international bpo, IT Helpdesk, freshers, customer care, international voice, call center, customer support, technical helpdesk, service desk, bpo fresher, uk, us, communication skills",Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 React.js Developer,1 - 3 ," jQuery, MySQL, Struts, Javascript, Database, JSF",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Requirement in Private bank for BDE,0 - 2 ," Business Development, Sales, Bde, New Business, Business Analyst, Business Development Manager, Business Development Executive, Senior Business Analyst, Sales Manager, Banker, Private Banker, Sales Officer",Accounts,"Delhi NCR,Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Physics- TGT,2 - 5 ," Counselor, Mentor, Trainer, Advisor, Teaching",Subject Teachers (TGT/PGT),Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Technical Sales Executive -mumbai,2 - 7 ," sales engineer, Technical Sales, Sales Executive Activities",,Mumbai,Other,"Construction, Engineering, Cement, Metals",Other
 Urgent Opening - Hp-ux Administrator,3 - 8 , Unix,Admin/Maintenance/Security/Datawarehousing,Delhi NCR,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Administrator
 Support Executive,1 - 3 ," Interpersonal skills, Direct marketing, IT hardware, Management, Support Executive",Sales Support,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
 J. Stores - Manager,2 - 4 ," Analytical skills, Technical, Educational qualification, Stores, Management, Forecasting, Electricals, Inventory, Cables, Organization skills",HR/ Recruitment / IR,Pune,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure",Training Manager
 Product Manager,5 - 7 ," product management, product pricing, sales, market research, user experience, marketting, asm, tsm, sales manager",Marketing,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager
 Draughtsman,5 - 10 ,"AutoCAD, Costing, Draughtsman, Civil, 3D",Architectural Services,Mumbai,"Architecture , Interior Design","Recruitment, Staffing",Draughtsman
 Senior Java Tech Lead - Spring Boot/ Data Structure,5 - 10 ,"Java, SOA, TDD, SaaS, J2EE, Spring Boot, API, Algorithm, Data Structure",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,2 - 7 ," Mba Finance, Auditing, Internal Audit, SOX, Audit Compliance, Compliance",Accounts,"Delhi NCR,Gurgaon","Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 ETL Datastage Developer,10 - 15 ," Technical Management, Agile Methodology, Unit Testing, Design Development, Business Analytics, Big Data, SQL Queries, Spark, Performance Tuning, Test Case Design",Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 Technical Lead,6 - 11 ,"CSS, Html5, MySQL, Javascript, Bootstrap, JSON, Node.Js, JQuery, Core PHP, Ajax",Programming & Design,Bengaluru,IT Software - System Programming,"IT-Software, Software Services",Team Lead/Technical Lead
 Specialist - DV,4 - 8 ," Javascript, SQL, Python, design studio, Strategy consulting, Front end, big data analytics, QlikView, MATLAB",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Accounting, Finance",Software Developer
" Office Assistant, Office Boy",0 - 2 ," Tea, Coffee, Office Assistance, admin, office assistant, computer operator",,Mumbai,Other,"Courier, Transportation, Freight , Warehousing",Other
 MES camster/apriso/hydra engineer,2 - 6 ,"Oracle database, server, VB.NET, technical, tools, sql, Sql Server 2008, database, design, MS.net, Application development, Test cases, net, deployment, Automation, development, c, oracle, testing, specification, vb, quality, application, PLSQL, pl, support, WIP",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 HR PMO Professional,6 - 9 ," Change management, Excel, Customer satisfaction, Project management, Relationship building, HR policies, HR, Scheduling, Visio, Stakeholder management",Project Management,Pune,IT Software - Other,"IT-Software, Software Services",Project Manager-IT/Software
 Principal Consultant,0 - 4 ," Business solutions, Project delivery, Conceptualization, Green field projects, Gap analysis, PDF, Regulatory compliance, account mining, Delivery Lead, Oracle Retail",System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Functional Outside Consultant
 Urgent Requirment For Central Processing Center- Mumbai,1 - 6 ," Accounting Entries, Debit, Communication Skills, Finance, Document Verification, Banking, Problem Solving, Open Office, Dispute Management",,Mumbai,Other,"Banking, Financial Services, Broking",Other
Cognos TM1 Developer (4 6 years),6 - 11 ,"Sql Server 2008, Cognos, MVC, SIDE, server, java, asp.net, Javascript, Problem, developer, ASP.Net MVC, sql",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Smart Web Developer,1 - 5 ," JAVA, Java, Business Analysts, development, Architects, HTML, Lead Developers, SQL, XML, design, PHP, ios development, PL",Programming & Design,Delhi,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Compensation and Benefits,10 - 15 ,,HR/ Recruitment / IR,Mumbai,"HR , Recruitment , Administration , IR","Media, Entertainment, Internet",Pay Roll/Compensation Manager
 Civil Architect,5 - 10 ," Architect, Engineering Design, EPC, Civil",Architectural Services,Mumbai,"Architecture , Interior Design","Strategy, Management Consulting Firms",Architect
 Reconciliation Executive,0 - 2 ," access controls, Technology, Asset Management, Intellectual Property, Vendor Management, CRM",Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Oracle Sales Cloud Developer,3 - 8 , oracle sales,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Opening For Sales and Marketing_nariman Point ,2 - 7 ," Sales, Marketing",Retail Sales,"Mumbai,Mumbai Suburbs","Sales , Retail , Business Development","Banking, Financial Services, Broking",Area Sales Manager
Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore,2 - 7 ," microsoft dynamics ax, strategy implementation, proposal development, business development, resource planning, cost management, enterprise applications, data integrity, microsoft applications, process design, technical consultant",System Design/Implementation/ERP/CRM,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Business Development Manager-digital / Export,5 - 8 ," digital marketing, international sales, international marketing, international business development, business development, Export Marketing",Institutional Sales,Noida,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Sr. Software Engineer,4 - 9 ," Unix, PDF, Deployment, Informatica, Oracle, Teradata, Troubleshooting, Data warehousing",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Website Designer,0 - 2 ,"jQuery, Analytical, Wordpress, Conceptualization, Web designing, Photoshop, Business Executive, CSS3, Ideas",Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
 Tech caller hiring a huge number of Executives.,2 - 5 ," Outbound, Night shift, Recruitment, iPhone, Email, US shift, Troubleshooting, Technical support, Comp, International BPO",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
